Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Precision,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
2,RMSprop,softsign,0.28901122046434985,0.9084920883178711,0.23324555158615112,0.9982539415359497,0.6373244422591395,0.7981481552124023,0.22192269563674927,0.9909259080886841
5,RMSprop,sigmoid,0.1023485447627276,0.971746027469635,0.2557794749736786,0.9992856979370117,0.01516736327560011,0.995555579662323,0.33185839653015137,1.0
7,RMSprop,selu,0.06419846319798429,0.9825396537780762,0.26737865805625916,0.9994444251060486,0.005469769511466262,0.9990741014480591,0.42603549361228943,1.0
5,RMSprop,relu,0.08912986839866444,0.9755555391311646,0.24959854781627655,0.9992063641548157,0.004027807528041194,0.9992592334747314,0.3625621199607849,1.0
2,RMSprop,selu,0.2711666875186243,0.9168254137039185,0.23879262804985046,0.9964285492897034,0.06751381962959487,0.9768518805503845,0.2780839502811432,0.9998148083686829
8,RMSprop,relu,0.06664668868386452,0.9826984405517578,0.2618696093559265,0.9993650913238525,0.008025548852884236,0.9983333349227905,0.4033462703227997,1.0
9,RMSprop,selu,0.05635798591582508,0.9874603152275085,0.2735471725463867,0.998968243598938,0.002532293773755612,0.9988889098167419,0.43999022245407104,1.0
3,RMSprop,softsign,0.15480086932518697,0.9546031951904297,0.23962993919849396,0.9990476369857788,0.38479030354776317,0.890925943851471,0.2882063388824463,0.9974074363708496
8,RMSprop,tanh,0.06307160385877934,0.9840475916862488,0.2666567862033844,0.9992856979370117,0.026748775971855012,0.9953703880310059,0.41083383560180664,1.0
4,RMSprop,selu,0.09721304828202673,0.9736508131027222,0.2533950209617615,0.9996031522750854,0.010515695765368744,0.9968518614768982,0.31805866956710815,1.0
3,RMSprop,softmax,0.23436933138374505,0.9316666722297668,0.23080453276634216,0.997936487197876,3.342705622315407,0.4059259295463562,0.17060920596122742,0.8240740895271301
5,RMSprop,softmax,0.11034376012428852,0.970714271068573,0.24927209317684174,0.9988095164299011,6.8605627192391285,0.1603703647851944,0.10986587405204773,0.4520370364189148
10,RMSprop,softmax,0.07196754496402545,0.9811905026435852,0.2723555266857147,0.9990476369857788,0.039208916564383696,0.9892592430114746,0.33007335662841797,1.0
9,RMSprop,elu,0.052282600455553274,0.9866666793823242,0.26698195934295654,0.9991269707679749,0.06612905676723008,0.9866666793823242,0.42188355326652527,0.9996296167373657
3,RMSprop,elu,0.1523343214296758,0.9568253755569458,0.240465447306633,0.9988095164299011,0.29009449528679804,0.9083333611488342,0.273917019367218,1.0
